account,sentiment_group,trades,volume_usd,total_closed_pnl,total_net_pnl,win_rate,avg_closed_pnl
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,4170375.08,151292.732859,150815.218681,0.2968481375358166,86.7007065094556
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,631747.95,144514.3446,144451.719339,0.6450116009280742,335.30010348027844
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,617413.63,99648.278349,99590.422055021,0.35714285714285715,1016.8191668265306
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,4792042.53,93165.161357,90425.75461233,0.3271214642262895,31.003381483194676
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,19395677.62,55978.79696,51523.19727303,0.37655995659251223,4.33910526005736
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,6207226.96,54685.021109,54195.205666,0.3222297756628144,37.175405240652616
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,68691467.31,51692.358711,33747.974456,0.5110281642348151,17.540671432304038
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,3316716.23,49364.275663,48858.149333,0.7794471153846154,29.66603104747596
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,13491850.52,30121.91049,26205.068284,0.3822269807280514,16.125219748394002
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,3438057.09,14542.702934,14147.5849965536,0.3274725274725275,31.96198447032967
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,917809.07,13422.524859,13152.948826873,0.4303073624017155,9.59437087848463
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,2722493.0,12934.469345,12466.233759,0.31841652323580033,5.565606430722891
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,498888.4,9999.484228,9879.3437842741,0.37662337662337664,10.821952627705627
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,1182485.92,9299.484548,8912.991912,0.32700135685210313,6.309012583446404
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,293743.3,8129.3406589999995,8030.643015,0.34959349593495936,66.09220047967479
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,601013.33,5615.052102,5548.824815,0.10126582278481013,23.692202962025316
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,337546.24,4256.559309,4212.695339923,0.620253164556962,53.88049758227849
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,2004454.72,4036.552319,3764.572228,0.46875,7.420132939338235
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,584523.86,3979.190772,3807.576182,0.4330708661417323,10.444070267716535
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,305149.83,2040.359057,1955.9349810805,0.2200557103064067,5.683451412256267
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,100479.48,258.41533,237.36820358,0.34545454545454546,4.698460545454545
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,338174.45,-467.058896,-515.8015870000002,0.6796875,-1.8244488125
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,1513049.15,-621.54506,-859.94610755,0.0,-3.254162617801047
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,2573742.54,-1658.7368009999998,-2234.76957251,0.4782608695652174,-0.6326227311212814
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,313640.08999999997,-16719.913714000002,-16860.249558800002,0.06818181818181818,-379.9980389545455
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,17929601.08,-19126.158064,-24940.439150000006,0.3555363321799308,-16.54511943252595
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,1330382.25,-58219.752261,-58347.14341496,0.1607717041800643,-187.20177575884244
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,9064146.19,401309.434693,398266.55259402003,0.3780734741105004,116.08603838385883
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,69726062.55,381330.49405,367919.83523342,0.5542312276519666,151.50198412793006
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,9824876.71,125650.11674,124348.968632,0.5819477434679335,298.4563342992874
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,3667355.44,97380.090931,96587.23313881,0.7529761904761905,144.91084959970237
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,202833.43,74293.663505,74265.008071,0.5208333333333334,1547.7846563541668
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,625897.45,58961.37973,58748.634777,0.5074626865671642,440.0102964925373
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,7376108.43,57368.780126,56312.148887,0.47096018735363,13.435311504918033
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,2042756.6,47610.460743999996,47316.25438,0.30655391120507397,50.32818260465116
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,21862924.69,45514.323221,38558.853083999995,0.4267815191855912,35.64160001644479
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,3242893.15,42292.843076,41313.301285,0.5753694581280788,41.66782569064039
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,13239784.34,27116.682664,24007.12406048,0.34778337222154,3.3300605015350606
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,4130620.47,12960.109958,12219.7618271,0.3195804195804196,9.063013956643356
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,2965311.29,10953.24796,10791.845975,0.41544117647058826,40.26929397058824
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,6313359.24,9467.021637,8561.5188502641,0.31950361177995923,1.7534768729394332
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,63735.380000000005,8019.163096,8012.789628,0.5,4009.581548
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,954481.99,7157.683579,7018.857896,0.38461538461538464,137.64776113461537
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,609457.49,5505.749364,5334.5025002511,0.46674182638105977,6.207158245772266
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,311075.04,4029.241688,3954.577814754,0.43902439024390244,6.142136719512195
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,7574996.96,4017.948928,2124.199807,0.27388535031847133,12.796015694267515
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,37444.55,1258.120923,1251.01391019,0.3770491803278688,20.624933163934426
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,2053464.93,808.3427170000001,173.06928,0.28109339407744877,0.368265474715262
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,106000.01,0.0,-10.599979000000001,0.0,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,426667.97,0.0,-1.99999899,0.0,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Neutral,0,0.0,0.0,0.0,,
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,629.06,-53.631353999999995,-53.75791547,0.0,-13.407838499999999
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,643705.37,-395.0559780000001,-470.88240288,0.1346153846153846,-3.798615173076924
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,39859.44,-1228.907104,-1231.7127629999998,0.6060606060606061,-37.23960921212121
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,2645447.29,-2605.9564710000004,-3037.1473779999997,0.7151639344262295,-1.7800249118852463
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,141251.22,-4526.698469,-4540.258551,0.0,-79.41576261403509
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1084672.12,-11933.080125,-12194.69403239,0.3611111111111111,-16.573722395833332
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,4848220.23,-19038.340561,-20426.394111,0.0,-31.78354016861436
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,4416024.05,-90302.553718,-91572.19725343,0.16464891041162227,-218.6502511331719
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,36284991.08,534058.23633,525962.20222277,0.27322125997622687,90.68742338767193
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,5049640.49,453595.31817600003,453028.0488,0.31703204047217537,764.9162195210793
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,8686990.84,276719.270187,275800.917329,0.1602787456445993,482.08932088327526
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,17601612.08,243399.51314,241015.4457194,0.4647042790951213,33.16973468792587
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1174862.15,227680.491734,227299.961959,0.6373056994818653,294.922916753886
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,121999299.14,163047.664946,138178.797436,0.376459450930893,51.450825164405174
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,6357516.12,96392.783186,94932.788648,0.5955947136563877,84.9275622784141
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,6523818.28,95937.394195,95212.228143,0.807868601986249,36.64529953972498
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,34783947.19,79023.471493,67854.162537,0.34361610968294776,33.857528488860325
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,4734259.0,60254.251561,58786.626373,0.3377814845704754,50.253754429524605
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,7343356.08,57108.9113,54619.419093020006,0.48148148148148145,192.28589663299664
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,128086.16,44169.810737,44145.52981703,0.9537037037037037,408.9797290462963
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,423422.33,38168.35486,38026.085109,0.4470588235294118,224.51973447058822
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1667155.83,36566.483324,36188.16020841,0.3507945850500294,10.761178141259565
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,4833683.86,35098.877549,34596.0726576317,0.33754556500607535,8.529496366707168
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1489279.85,31192.591971,30700.34344381,0.4484848484848485,10.50255621919192
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,839231.03,30258.203855,30121.630614,0.24285714285714285,86.45201101428572
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,132946.9,30203.401038,30175.492673239998,0.5062240663900415,125.32531551037344
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,6487032.05,30053.395556,28666.67704704,0.4016309887869521,10.211823158681618
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,488,1023144.63,21077.717,20979.495518,0.12295081967213115,43.192043032786884
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1022433.76,20075.672949,19741.859273,0.541501976284585,79.35048596442688
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,670213.14,12082.95,11984.657952000001,0.029411764705882353,177.69044117647059
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,733557.1,10591.760255,10497.57873528,0.4444444444444444,168.12317865079365
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,329588.6,6775.291988000001,6758.159890860001,0.5301204819277109,81.63002395180725
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,124084.75,4239.816383,4222.455692240001,0.5,163.0698608846154
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,9082.85,43.2005,40.261606,0.4,8.6401
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,356.17,4.672458,4.552649,0.2,0.9344916
0xb899e522b5715391ae1d4f137653e7906c5e2115,Greed,0,0.0,0.0,0.0,,
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,156310.59,-3531.989984,-3561.5383175,0.7254901960784313,-34.62735278431372
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,4577661.86,-24036.539128,-25398.0796994,0.19914756025867136,-3.5327071028806585
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,10486688.13,-100019.806374,-102780.096282,0.24444444444444444,-185.22186365555558
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,2908242.68,-360101.898234,-360769.31587600004,0.5468844525105868,-217.8474883448276
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,5161529.02,1105304.859175,1103779.15831,0.5100426049908704,672.7357633444918
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,16527882.25,478811.468185,477137.30911706,0.5963111706083594,71.21991197159007
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,12164067.59,210726.855269,210004.27511832,0.8546071521795876,55.00570484703732
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,45776822.49,129217.68646,115357.146265,0.3336058871627146,52.82816290269828
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124285.34,124284.948775,124241.448912,1.0,8285.663251666667
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,3277267.08,108009.960644,106878.67091889,0.4444592968854431,14.437904109611015
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,5039569.4,90895.05041,89363.307962,0.4878213802435724,61.49868092692828
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,106012.87,73192.077142,73166.99900918,0.8947368421052632,428.02384293567246
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,1707644.17,67275.949439,66673.22038962,0.34285714285714286,21.35744426634921
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,3665028.12,63520.274683,62635.01511928,0.27953518398967075,41.00727868495804
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,3752401.08,56071.411052999996,54876.790957929996,0.3361766181635725,14.067087569744103
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,5836132.71,47791.247782,47403.406606,0.4235058621675722,13.666356243065485
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,417993.96,46411.26711,46386.58347473,0.51953125,181.2940121484375
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,554152.63,36870.155091,36767.91677292,0.36893203883495146,178.9813353932039
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1523508.3,35658.894935000004,35216.71278151,0.576969696969697,43.22290295151516
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,449446.74,30992.181771,30967.92570212,0.45962732919254656,192.49802342236023
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,643594.44,20925.513222,20724.15093739,0.5526315789473685,110.13428011578948
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,878585.38,20496.054182,20290.945392,0.3592814371257485,122.73086336526946
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,546525.63,14406.384865,14320.088891309999,0.4956521739130435,125.27291186956522
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,893183.5,6053.160569999998,5908.057110999998,0.08387096774193549,19.526324419354832
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,347816.12,4019.61859,3962.781485,0.23148148148148148,37.21869064814815
