date,trades,volume_usd,closed_pnl,net_pnl,win_rate,sentiment_value
2024-01-12,7,200082.27,-1925.519024,-1974.999751,0.0,71.0
2024-01-15,14,50636.1,152.85358,140.200868,0.6428571428571429,52.0
2024-01-16,9,116427.33,-2299.171458,-2316.4907670000002,0.3333333333333333,64.0
2024-01-17,53,800831.03,813.2741110000001,653.566505,0.20754716981132076,60.0
2024-01-18,46,424631.52999999997,68.93319,-23.724710999999996,0.06521739130434782,63.0
2024-01-19,48,428428.97,-385.419235,-478.471103,0.125,51.0
2024-01-20,106,1070090.51,-146.57487000000003,-414.097453,0.14150943396226415,52.0
2024-01-21,11,103129.74,266.58114600000005,240.79871599999998,0.2727272727272727,56.0
2024-01-22,85,337878.99,1375.640959,1308.162691,0.27058823529411763,55.0
2024-01-23,45,414518.93000000005,-369.2447299999998,-454.96929999999986,0.24444444444444444,50.0
2024-01-24,68,965084.59,-2808.353815,-3036.12491,0.14705882352941177,48.0
2024-01-25,6,66566.13,-3093.6293849999997,-3110.270917,0.0,52.0
2024-01-26,5,11773.21,90.2,89.755765,0.2,49.0
2024-01-28,11,18109.03,-2478.06972,-2477.707544,0.0,54.0
2024-01-29,74,414208.18,486.562542,383.299937,0.6081081081081081,55.0
2024-01-30,49,401011.38,-173.65419100000003,-273.90700100000004,0.10204081632653061,61.0
2024-01-31,859,6305647.13,-799.840817,-2349.252292,0.2689173457508731,60.0
2024-02-01,6,2008.18,0.0,-0.5020439999999999,0.0,63.0
2024-02-02,42,474278.43,456.423473,364.853837,0.30952380952380953,63.0
2024-02-03,56,603820.0,223.30918699999998,113.64683800000003,0.10714285714285714,60.0
2024-02-04,35,203187.53,47.62389499999999,-2.9029850000000166,0.2571428571428571,60.0
2024-02-05,72,770198.26,-33.45419400000003,-199.00365900000008,0.19444444444444445,60.0
2024-02-06,1088,8047153.41,-215.615907,-1204.222904,0.1645220588235294,64.0
2024-02-07,15,6758.73,241.24212,240.902427,0.13333333333333333,62.0
2024-02-08,10,26051.12,770.756024,767.7531369999999,0.4,66.0
2024-02-11,34,212311.82,983.443176,958.487884,0.20588235294117646,71.0
2024-02-12,16,227247.69999999998,913.8817869999998,886.7698759999998,0.375,70.0
2024-02-13,14,1999.99,559.44389,559.483882,1.0,79.0
2024-02-14,111,320839.88,3830.599833,3807.682359,0.7477477477477478,74.0
2024-02-15,63,185188.04,1840.797677,1810.09138,0.9047619047619048,72.0
2024-02-16,182,564896.51,5491.768834,5464.543664,0.8021978021978022,72.0
2024-02-17,94,406118.07,1929.6418,1867.586747,0.648936170212766,76.0
2024-02-18,97,157048.17,477.6248299999999,480.7657549999999,0.6288659793814433,72.0
2024-02-19,101,286377.2,4317.768563,4302.915943,0.7623762376237624,75.0
2024-02-20,39,119419.72,3263.628824,3260.555149,0.7948717948717948,72.0
2024-02-21,22,108047.51999999999,1858.7985700000002,1855.827941,0.6818181818181818,78.0
2024-02-22,88,373033.87,3894.1050699999996,3868.6524899999995,0.45454545454545453,74.0
2024-02-23,143,111106.14,1418.55293,1420.619999,0.958041958041958,76.0
2024-02-25,5,4480.13,-30.7705,-30.6809,0.0,74.0
2024-02-26,39,192187.14,4416.8473,4416.945025,0.8717948717948718,72.0
2024-02-27,63,209362.3,888.511733,892.2733420000001,0.4126984126984127,79.0
2024-02-28,45,171107.13,2503.747235,2505.124387,0.8666666666666667,82.0
2024-02-29,116,395666.73,9813.996992,9812.637907,0.8620689655172413,80.0
2024-03-01,137,472974.7,8244.241409,8244.788263,0.9343065693430657,80.0
2024-03-02,31,63197.56,230.90060000000005,231.36972899999995,0.6774193548387096,80.0
2024-03-03,79,390745.68,8361.086245,8363.593348,0.6835443037974683,83.0
2024-03-04,300,1577996.87,27799.775742,27800.335191,0.8866666666666667,82.0
2024-03-05,180,841810.32,19791.026041,19795.464500000002,0.9055555555555556,90.0
2024-03-06,82,327218.02,6814.825139,6818.1804569999995,0.8780487804878049,75.0
2024-03-08,67,183583.18,4271.886236,4275.557865,0.8805970149253731,81.0
2024-03-09,117,658178.75,9949.501624,9947.64986,0.8290598290598291,84.0
2024-03-10,42,219973.85,2482.9272,2480.646128,0.6904761904761905,79.0
2024-03-11,42,176519.44999999998,3588.179495,3579.7066050000003,0.9285714285714286,82.0
2024-03-12,8,103040.85,3039.166,3034.220047,0.875,81.0
2024-03-13,7,6000.799999999999,0.0,-2.100278,0.0,81.0
2024-03-14,18,205933.18,3465.865832,3454.14904,0.8888888888888888,88.0
2024-03-15,62,351894.41,6236.513651,6187.0286479999995,0.6612903225806451,83.0
2024-03-16,8,37223.66,228.57984,218.05156,0.125,81.0
2024-03-17,23,99506.95,503.293955,469.5306259999999,0.43478260869565216,79.0
2024-03-18,19,90458.08,1456.9577,1432.01442,0.3157894736842105,77.0
2024-03-19,24,219884.84,668.797973,642.809661,0.20833333333333334,79.0
2024-03-20,69,215705.85,6423.134599,6383.255760999999,0.8695652173913043,74.0
2024-03-21,28,117895.57,2335.5080749999997,2319.1133250000003,0.8214285714285714,78.0
2024-03-24,19,92592.20999999999,1297.018477,1288.12964,0.7894736842105263,74.0
2024-03-25,7,57116.32,1302.916428,1282.925716,0.8571428571428571,75.0
2024-03-26,118,198565.19,3215.906593,3187.7591899999998,0.9322033898305084,81.0
2024-03-27,38,99864.79,150.41114,118.693188,0.3157894736842105,83.0
2024-03-28,13,35323.72,227.85100799999998,218.791779,0.6923076923076923,80.0
2024-03-29,15,86914.37,883.097404,852.677374,0.4,79.0
2024-03-30,45,101103.92,1100.57514,1090.635686,0.9777777777777777,75.0
2024-03-31,13,39912.96,912.786145,898.8166229999999,0.7692307692307693,75.0
2024-04-01,77,339470.47,2507.963406,2424.212044,0.5454545454545454,79.0
2024-04-02,41,239664.50999999998,883.760812,803.628238,0.2926829268292683,79.0
2024-04-03,4,16887.57,126.7884,125.12719899999999,0.25,71.0
2024-04-04,32,95987.73,0.0,-33.595684999999996,0.0,70.0
2024-04-05,100,503791.8,10706.484306,10603.054168,0.9,79.0
2024-04-06,16,68223.67,236.33513399999998,212.45685699999999,0.25,75.0
2024-04-07,23,49988.14,0.0,-17.495845,0.0,78.0
2024-04-08,30,211940.64,1218.4267,1156.636152,0.03333333333333333,76.0
2024-04-09,3,57063.840000000004,0.0,-19.972341,0.0,80.0
2024-04-10,41,351735.97,5207.443414,5084.335852,0.8780487804878049,78.0
2024-04-11,16,76400.96,389.743164,363.002835,0.125,76.0
2024-04-12,129,442088.59,-592.6458390000001,-690.206714,0.5503875968992248,79.0
2024-04-13,89,486411.25,6621.451755,6502.452579000001,0.6853932584269663,72.0
2024-04-14,107,659162.17,-36104.012520000004,-36317.489924,0.308411214953271,72.0
2024-04-15,41,291111.19,3774.08872,3733.438116,0.8536585365853658,74.0
2024-04-16,47,181907.17,2467.702221,2449.244536,0.9148936170212766,65.0
2024-04-17,14,97562.99,2441.4683999999997,2430.8474370000004,0.9285714285714286,67.0
2024-04-19,35,337257.92000000004,1946.4454620000001,1828.4052020000001,0.7714285714285715,66.0
2024-04-20,22,60733.24,0.0,-121.289047,0.0,66.0
2024-04-22,9,47993.61,0.0,-16.797764,0.0,73.0
2024-04-23,66,233054.9,1119.536196,1048.2277199999999,0.5303030303030303,71.0
2024-04-24,20,141275.24,279.185907,229.73959100000002,0.3,72.0
2024-04-25,74,120241.01,0.0,-160.159512,0.0,72.0
2024-04-26,3,4988.290000000001,0.0,-1.745898,0.0,70.0
2024-04-27,27,154264.47,4281.488139,4227.495589,0.7037037037037037,67.0
2024-04-28,58,43985.6,0.0,-15.394946,0.0,65.0
2024-04-29,45,108699.01,526.9338359999999,488.889206,0.37777777777777777,67.0
2024-04-30,24,125018.75,0.0,-43.75655,0.0,67.0
2024-05-01,14,87025.45,0.0,-30.458908,0.0,54.0
2024-05-03,36,282682.64999999997,5306.017045,5207.106364,0.4722222222222222,48.0
2024-05-04,9,58998.75,0.0,-20.649559,0.0,67.0
2024-05-05,6,24068.350000000002,0.916,-7.496778,0.16666666666666666,69.0
2024-05-06,9,206016.43,968.59038,896.484634,0.4444444444444444,71.0
2024-05-07,18,108717.58,883.537693,845.4986319999999,0.5,68.0
2024-05-08,13,65973.57,1.56576,-21.511066,0.07692307692307693,64.0
2024-05-09,28,221966.12,1147.595856,1069.9077240000001,0.39285714285714285,55.0
2024-05-10,22,156882.0,2101.741695,2046.833005,0.2727272727272727,66.0
2024-05-11,9,63248.95,251.604742,229.46761700000002,1.0,53.0
2024-05-12,23,55179.56,0.0,-19.312829,0.0,56.0
2024-05-13,28,193118.9,2136.853859,2069.26226,0.35714285714285715,57.0
2024-05-14,23,145853.4,1150.5233050000002,1099.4746200000002,0.17391304347826086,66.0
2024-05-15,36,234922.57,948.970582,866.747695,0.4722222222222222,64.0
2024-05-16,27,162620.96,214.5898,157.67248,0.18518518518518517,70.0
2024-05-18,25,126303.14,3522.3946610000003,3478.188569,0.64,73.0
2024-05-19,8,29998.09,0.0,-10.499327000000001,0.0,72.0
2024-05-20,10,38124.75,-74.818442,-88.162104,0.0,70.0
2024-05-21,125,1100948.59,7289.397571999999,6904.065627999999,0.112,76.0
2024-05-22,6,44995.29,0.0,-15.748349000000001,0.0,76.0
2024-05-23,325,401850.6,413.347329,299.91725,0.4461538461538462,76.0
2024-05-24,2,50811.899999999994,821.949278,804.165113,1.0,74.0
2024-05-25,16,29991.129999999997,14.126038999999999,3.879151999999998,0.3125,76.0
2024-05-26,16,53976.67,778.6839,759.915709,0.25,75.0
2024-05-27,251,151115.72,1129.35587,1083.523404,0.35856573705179284,74.0
2024-05-29,164,84268.76,277.791953,240.915354,0.4146341463414634,72.0
2024-05-30,7,2838.09,20.951433,19.958107,0.7142857142857143,73.0
2024-05-31,13,3636.14,25.35812,24.085473999999998,0.3076923076923077,73.0
