sentiment_group,trades,accounts,volume_usd,avg_trade_usd,total_closed_pnl,total_net_pnl,avg_closed_pnl,median_closed_pnl,win_rate,avg_fee_bps
Extreme Fear,21400,32,114484261.44,5349.7318429906545,739110.24849,715221.6145506131,34.53786207897196,0.0,0.370607476635514,2.133930471230946
Fear,61837,32,483324789.79,7816.109930785776,3357155.441642,3264698.4929678454,54.2903996254993,0.0,0.42076750165758364,4.869445932255194
Neutral,37686,31,180242063.08,4782.732661465797,1292920.67555,1253546.4072461291,34.30771839807886,0.0,0.3969909250119408,4.246522358223535
Greed,50303,31,288582494.72,5736.884375086974,2150129.272951,2087030.5809718317,42.74355948851957,0.0,0.38482794266743536,2.5555888327836835
Extreme Greed,39992,30,124465164.57,3112.2515645629123,2715171.310673,2688140.64520785,67.89286133909282,0.0,0.46494298859771954,2.5377567096925455
